welfarepurpose_welfare_id,welfarepurpose_purpose_id
WLF00003193,9
WLF00003194,3
WLF00003195,3
WLF00003196,2
WLF00003197,9
WLF00003198,2
WLF00003199,9
WLF00003200,4
WLF00003201,1
WLF00003202,3
WLF00003203,8
WLF00003204,4
WLF00003205,0
WLF00003206,3
WLF00003207,0
WLF00003208,0
WLF00003209,2
WLF00003210,9
WLF00003211,5
WLF00003212,1
WLF00003213,3
WLF00003214,2
WLF00003214,8
WLF00003215,9
WLF00003216,6
WLF00003217,8
WLF00003218,3
WLF00003219,2
WLF00003220,9
WLF00003221,1
WLF00003222,1
WLF00003223,4
WLF00003223,5
WLF00003224,6
WLF00003225,2
WLF00003225,3
WLF00003226,3
WLF00003226,5
WLF00003227,6
WLF00003228,3
WLF00003229,2
WLF00003230,1
WLF00003231,9
WLF00003232,3
WLF00003233,2
WLF00003234,9
WLF00003235,9
WLF00003236,4
WLF00003237,3
WLF00003238,3
WLF00003239,0
WLF00003240,6
WLF00003241,9
WLF00003242,3
WLF00003243,5
WLF00003244,1
WLF00003245,0
WLF00003246,3
WLF00003247,3
WLF00003248,5
WLF00003249,9
WLF00003250,6
WLF00003251,0
WLF00003252,8
WLF00003253,6
WLF00003254,5
WLF00003254,6
WLF00003255,6
WLF00003256,3
WLF00003257,2
WLF00003258,5
WLF00003259,0
WLF00003260,3
WLF00003260,5
WLF00003261,2
WLF00003262,5
WLF00003263,4
WLF00003264,3
WLF00003265,2
WLF00003266,9
WLF00003267,2
WLF00003268,9
WLF00003268,3
WLF00003269,1
WLF00003270,3
WLF00003270,4
WLF00003271,1
WLF00003272,3
WLF00003273,3
WLF00003274,2
WLF00003274,3
WLF00003275,3
WLF00003275,4
WLF00003276,6
WLF00003277,2
WLF00003278,3
WLF00003279,2
WLF00003279,5
WLF00003279,6
WLF00003280,3
WLF00003281,0
WLF00003282,6
WLF00003283,5
WLF00003283,6
WLF00004647,6
WLF00004648,1
WLF00004648,3
WLF00004648,5
WLF00004649,1
WLF00004650,6
WLF00004651,0
WLF00004651,6
WLF00004654,0
WLF00004655,0
WLF00004656,9
WLF00004657,6
