welfarepurpose_welfare_id,welfarepurpose_purpose_id,welfare_id
WLF00001141,8,255
WLF00001142,6,256
WLF00001143,7,257
WLF00001144,2,258
WLF00001145,4,259
WLF00001146,2,260
WLF00001147,6,261
WLF00001148,9,262
WLF00001149,0,263
WLF00001150,7,264
WLF00001151,3,265
WLF00001152,0,266
WLF00001153,8,267
WLF00001154,2,268
WLF00001155,0,269
WLF00001156,0,270
WLF00001157,9,271
WLF00001158,3,272
WLF00001159,2,273
WLF00001159,3,273
WLF00001160,4,274
WLF00001161,6,275
WLF00001162,2,276
WLF00001163,6,277
WLF00001164,2,278
WLF00001165,7,279
WLF00001166,4,280
WLF00001168,0,281
WLF00001169,3,282
WLF00001171,9,283
WLF00001173,6,284
WLF00001174,6,285
WLF00001175,6,286
WLF00001175,8,286
WLF00001176,3,287
WLF00001177,3,288
WLF00001178,5,289
WLF00001179,3,290
WLF00001180,5,291
WLF00001181,5,292
WLF00001182,3,293
WLF00001183,6,294
WLF00001184,3,295
WLF00001185,3,296
WLF00001186,2,297
WLF00001186,6,297
WLF00001187,0,298
WLF00001188,6,299
WLF00003168,1,300
WLF00003168,9,300
WLF00003169,4,301
WLF00003170,0,302
WLF00003171,3,303
WLF00003172,8,304
WLF00003173,7,305
WLF00003174,9,306
WLF00003175,2,307
WLF00003176,2,308
WLF00003177,3,309
WLF00003178,9,310
WLF00003179,3,311
WLF00003180,2,312
WLF00003181,3,313
WLF00003182,0,314
WLF00003183,9,315
WLF00003184,5,316
WLF00003185,4,317
WLF00003186,5,318
WLF00003187,7,319
WLF00003188,6,320
WLF00003189,0,321
WLF00003190,3,322
WLF00003191,5,323
WLF00003192,3,324
WLF00003193,9,325
WLF00003194,3,326
WLF00003195,3,327
WLF00003196,2,328
WLF00003197,9,329
WLF00003198,2,330
WLF00003199,9,331
WLF00003200,4,332
WLF00003201,1,333
WLF00003202,3,334
WLF00003203,8,335
WLF00003204,4,336
WLF00003205,0,337
WLF00003206,3,338
WLF00003207,0,339
WLF00003208,0,340
WLF00003209,2,341
WLF00003210,9,342
WLF00003211,5,343
WLF00003212,1,344
WLF00003213,3,345
WLF00003214,2,346
WLF00003214,8,346
WLF00003215,9,347
WLF00003216,6,348
WLF00003217,8,349
WLF00003218,3,350
WLF00003219,2,351
WLF00003220,9,352
WLF00003221,1,353
WLF00003222,1,354
WLF00003223,4,355
WLF00003223,5,355
WLF00003224,6,356
WLF00003225,2,357
WLF00003225,3,357
WLF00003226,3,358
WLF00003226,5,358
WLF00003227,6,359
WLF00003228,3,360
WLF00003229,2,361
WLF00003230,1,362
WLF00003231,9,363
WLF00003232,3,364
WLF00003233,2,365
WLF00003234,9,366
WLF00003235,9,367
WLF00003236,4,368
WLF00003237,3,369
WLF00003238,3,370
WLF00003239,0,371
WLF00003240,6,372
WLF00003241,9,373
WLF00003242,3,374
WLF00003243,5,375
WLF00003244,1,376
WLF00003245,0,377
WLF00003246,3,378
WLF00003247,3,379
WLF00003248,5,380
WLF00003249,9,381
WLF00003250,6,382
WLF00003251,0,383
WLF00003252,8,384
WLF00003253,6,385
WLF00003254,5,386
WLF00003254,6,386
WLF00003255,6,387
WLF00003256,3,388
WLF00003257,2,389
WLF00003258,5,390
WLF00003259,0,391
WLF00003260,3,392
WLF00003260,5,392
WLF00003261,2,393
WLF00003262,5,394
WLF00003263,4,395
WLF00003264,3,396
WLF00003265,2,397
WLF00003266,9,398
WLF00003267,2,399
WLF00003268,9,400
WLF00003268,3,400
WLF00003269,1,401
WLF00003270,3,402
WLF00003270,4,402
WLF00003271,1,403
WLF00003272,3,404
WLF00003273,3,405
WLF00003274,2,406
WLF00003274,3,406
WLF00003275,3,407
WLF00003275,4,407
WLF00003276,6,408
WLF00003277,2,409
WLF00003278,3,410
WLF00003279,2,411
WLF00003279,5,411
WLF00003279,6,411
WLF00003280,3,412
WLF00003281,0,413
WLF00003282,6,414
WLF00003283,5,415
WLF00003283,6,415
WLF00004647,6,416
WLF00004648,1,417
WLF00004648,3,417
WLF00004648,5,417
WLF00004649,1,418
WLF00004650,6,419
WLF00004651,0,420
WLF00004651,6,420
WLF00004654,0,421
WLF00004655,0,422
WLF00004656,9,423
WLF00004657,6,424
