welfaretarget_welfare_id,welfaretarget_target_id,welfare_id
WLF00003170,2,302
WLF00003171,5,303
WLF00003172,5,304
WLF00003173,5,305
WLF00003174,2,306
WLF00003175,5,307
WLF00003176,5,308
WLF00003177,0,309
WLF00003178,5,310
WLF00003179,5,311
WLF00003180,5,312
WLF00003181,5,313
WLF00003182,1,314
WLF00003183,5,315
WLF00003184,0,316
WLF00003185,0,317
WLF00003186,0,318
WLF00003187,0,319
WLF00003188,0,320
WLF00003189,1,321
WLF00003190,5,322
WLF00003191,5,323
WLF00003192,5,324
WLF00003193,5,325
WLF00003194,5,326
WLF00003195,0,327
WLF00003195,1,327
WLF00003196,5,328
WLF00003197,0,329
WLF00003198,5,330
WLF00003199,5,331
WLF00003200,0,332
WLF00003201,5,333
WLF00003202,5,334
WLF00003203,5,335
WLF00003204,0,336
WLF00003205,2,337
WLF00003206,5,338
WLF00003207,3,339
WLF00003208,1,340
WLF00003209,5,341
WLF00003210,2,342
WLF00003211,5,343
WLF00003212,5,344
WLF00003213,5,345
WLF00003214,5,346
WLF00003215,5,347
WLF00003216,5,348
WLF00003217,5,349
WLF00003218,5,350
WLF00003219,5,351
WLF00003220,5,352
WLF00003221,0,353
WLF00003222,5,354
WLF00003223,5,355
WLF00003224,5,356
WLF00003225,5,357
WLF00003226,5,358
WLF00003227,0,359
WLF00003228,5,360
WLF00003229,5,361
WLF00003230,5,362
WLF00003231,5,363
WLF00003232,3,364
WLF00003233,2,365
WLF00003233,3,365
WLF00003233,4,365
WLF00003234,2,366
WLF00003235,5,367
WLF00003236,0,368
WLF00003237,5,369
WLF00003238,5,370
WLF00003239,1,371
WLF00003240,5,372
WLF00003241,5,373
WLF00003242,5,374
WLF00003243,5,375
WLF00003244,5,376
WLF00003245,1,377
WLF00003246,0,378
WLF00003247,5,379
WLF00003248,5,380
WLF00003249,5,381
WLF00003250,5,382
WLF00003251,1,383
WLF00003252,5,384
WLF00003253,5,385
WLF00003254,0,386
WLF00003255,0,387
WLF00003256,5,388
WLF00003257,5,389
WLF00003258,5,390
WLF00003259,1,391
WLF00003260,5,392
WLF00003261,5,393
WLF00003262,0,394
WLF00003263,0,395
WLF00003264,5,396
WLF00003265,5,397
WLF00003266,5,398
WLF00003267,0,399
WLF00003268,5,400
WLF00003268,5,400
WLF00003269,5,401
WLF00003270,5,402
WLF00003271,5,403
WLF00003272,5,404
WLF00003273,5,405
WLF00003274,5,406
WLF00003275,5,407
WLF00003276,0,408
WLF00003277,0,409
WLF00003278,5,410
WLF00003279,5,411
WLF00003280,5,412
WLF00003281,1,413
WLF00003282,5,414
WLF00003283,5,415
WLF00004647,5,416
WLF00004648,5,417
WLF00004649,0,418
WLF00004650,0,419
WLF00004651,1,420
WLF00004654,1,421
WLF00004655,1,422
WLF00004656,5,423
WLF00004657,5,424
