welfaretarget_welfare_id,welfaretarget_target_id
WLF00003239,1
WLF00003240,5
WLF00003241,5
WLF00003242,5
WLF00003243,5
WLF00003244,5
WLF00003245,1
WLF00003246,0
WLF00003247,5
WLF00003248,5
WLF00003249,5
WLF00003250,5
WLF00003251,1
WLF00003252,5
WLF00003253,5
WLF00003254,0
WLF00003255,0
WLF00003256,5
WLF00003257,5
WLF00003258,5
WLF00003259,1
WLF00003260,5
WLF00003261,5
WLF00003262,0
WLF00003263,0
WLF00003264,5
WLF00003265,5
WLF00003266,5
WLF00003267,0
WLF00003268,5
WLF00003268,5
WLF00003269,5
WLF00003270,5
WLF00003271,5
WLF00003272,5
WLF00003273,5
WLF00003274,5
WLF00003275,5
WLF00003276,0
WLF00003277,0
WLF00003278,5
WLF00003279,5
WLF00003280,5
WLF00003281,1
WLF00003282,5
WLF00003283,5
WLF00004647,5
WLF00004648,5
WLF00004649,0
WLF00004650,0
WLF00004651,1
WLF00004654,1
WLF00004655,1
WLF00004656,5
WLF00004657,5
